Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	FWHM_Mean	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	rel_flux_T1	rel_flux_C2	rel_flux_C3	rel_flux_err_T1	rel_flux_err_C2	rel_flux_err_C3	rel_flux_SNR_T1	rel_flux_SNR_C2	rel_flux_SNR_C3	tot_C_cnts	tot_C_err	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	X(IJ)_C2	Y(IJ)_C2	X(FITS)_C2	Y(FITS)_C2	Source-Sky_C2	Source_Error_C2	Source_SNR_C2	Peak_C2	Mean_C2	Sky/Pixel_C2	FWHM_C2	Width_C2	X-Width_C2	Y-Width_C2	Angle_C2	Roundness_C2	X(IJ)_C3	Y(IJ)_C3	X(FITS)_C3	Y(FITS)_C3	Source-Sky_C3	Source_Error_C3	Source_SNR_C3	Peak_C3	Mean_C3	Sky/Pixel_C3	FWHM_C3	Width_C3	X-Width_C3	Y-Width_C3	Angle_C3	Roundness_C3	N_Src_Pixels_C2	N_Sky_Pixels_C2	N_Src_Pixels_C3	N_Sky_Pixels_C3
SzLyn0001o_clean.fits	1	0	60350.57832111092	2460350.578321111	2460350.577858148	2460350.5830161897	2460350.583819372	1.5788523653507351	39.21152218550174	-24.4743014837917	80	8.159930277777779	44.471555555555554	6.46906111078457	10	16	22	2.5987056227769947	0.6236456116834097	1.6034747639780467	0.0194130686338703	0.0096055773515766	0.0246972007629729	133.86372200029186	64.92536459362813	64.92536459362813	243595.49544299208	1735.655619489979	468.4780447393706	465.415772716185	468.9780447393706	559.0842272838149	633032.9836908513	314.1592653589793	1420.776141470635	445.5543454126443	25354	2015.0065698922028	2912.671031096563	611	6.342755150317503	5.613225901053041	5.253191873949795	5.973259928156287	277.1333196086697	0.9826233677415519	344.4247938643096	430.723491764463	344.9247938643096	593.776508235537	93565.52973487787	1217.089359139295	76.8764668200253	5835	297.82833120635064	2928.4951456310678	6.541284815634873	6.004371516162318	5.739732184422549	6.269010847902087	289.33754157700156	0.987300776559552	387.309585408214	582.0272706215158	387.809585408214	442.47272937848425	150029.9657081142	1237.4142076673609	121.24474147661068	7332	477.56021308707886	2925.6592	6.523143366401333	5.707675158964974	5.459557397039909	5.955792920890039	281.3849624964781	0.9911428716276789	314.15926535897927	618	314.1592653589791	625
SzLyn0002o_clean.fits	2	0	60350.579316423275	2460350.5793164233	2460350.5788534605	2460350.584011463	2460350.5848146453	1.570495019096083	39.4622097311452	-24.9367560713856	80	8.159930277777779	44.471555555555554	6.775540961400094	10	16	22	2.689830704323959	0.6219702522618727	1.6077939360658724	0.0199978240805587	0.0095609683222748	0.0247151159329065	134.5061689455974	65.05306066257228	65.05306066257228	243687.03653013916	1733.0529451038826	465.97763986821565	468.40893959366434	466.47763986821565	556.0910604063356	655476.8731044825	314.1592653589793	1420.3832329439267	461.47888675503617	18176	2086.4476887399483	2881.9935794542534	623	6.817013895225886	7.2593676106050875	5.386753162364168	9.131982058846006	77.24432476384254	0.7127180028601048	341.9985052769171	433.7130570556063	342.4985052769171	590.7869429443937	93445.66422980733	1212.5552732937915	77.06507594987487	5011	297.44678745358686	2903.9141004862236	7.169626214396547	7.5766474547069596	5.931474451862218	9.221820457551702	75.91507525684973	0.7786821401981912	384.917525716807	585.0949458008696	385.417525716807	439.4050541991304	150241.37230033183	1238.2173556127616	121.33683284222847	6953	478.2331411701517	2900.649093904448	6.339982774577852	7.310585972860199	5.392462991022899	9.228708954697499	77.19185141350496	0.7035518440457487	314.1592653589794	617	314.15926535897916	607
SzLyn0003o_clean.fits	3	0	60350.58031074051	2460350.5803107405	2460350.5798477777	2460350.585005741	2460350.5858089235	1.5622724489846778	39.71236385944962	-24.4743014837917	80	8.159930277777779	44.471555555555554	6.263019411671903	10	16	22	2.7283730562347857	0.619244514183375	1.6148709873009435	0.0198923774149031	0.0093576291133688	0.0244029029228138	137.15671080072713	66.17536415273095	66.17536415273095	246513.4564479671	1720.0561567171844	463.6626897426618	458.9862092592095	464.1626897426618	565.5137907407905	672580.6725719407	314.1592653589793	1422.2615542002281	472.89520734472006	29087	2140.890773357918	2852.472580645161	620	6.20379710074955	5.4622031630228145	5.233493473329689	5.69091285271594	61.90852095000571	0.9774381416385829	339.6156440447311	424.3342874509244	340.1156440447311	600.1657125490756	94273.65925323032	1204.8357640666468	78.24606644729005	6062	300.08237747025214	2869.0434782608695	6.342178959167818	5.831132806257861	5.810357142018222	5.8519084704974995	47.94924102581106	0.9951921326577877	382.5130908314351	575.5702185222174	383.0130908314351	448.9297814777826	152239.79719473678	1227.5846055920672	124.01572690080383	8772	484.5943251770005	2868.113782051282	6.2430821750983405	5.664322371040008	5.458783601042456	5.86986114103756	59.23734063655134	0.9768905223067218	314.15926535897927	621	314.15926535897927	624
SzLyn0004o_clean.fits	4	0	60350.58130583307	2460350.581305833	2460350.5808428703	2460350.5860007945	2460350.586803977	1.5541677155649503	39.962421856068985	-24.4743014837917	80	8.159930277777779	44.471555555555554	6.118535001230639	10	16	22	2.8508069392718896	0.6127668319216522	1.631942115509051	0.0210281167296342	0.0094240073113119	0.0250983467560814	135.57119621912437	65.02189691492823	65.02189691492823	242959.8627342201	1720.2366657996542	461.07253374625304	455.49246864355695	461.57253374625304	569.007531356443	692631.6626472605	314.1592653589793	1432.4565552366016	483.5271688451711	26829	2204.715057045392	2849.4587458745873	606	6.027872023505858	5.538828136927117	5.419123272178102	5.658533001676133	70.9272505780998	0.9969820937923343	337.1085196612516	420.78339371347107	337.6085196612516	603.716606286529	92312.00842243014	1203.4158503758208	76.70832023161533	5819	293.8382489434089	2869.0561797752807	6.145169266731132	5.638110067695552	5.544882273981016	5.731337861410088	70.24601971324708	0.9981637422780857	379.990944239528	572.0827448502175	380.490944239528	452.4172551497825	150647.85431178997	1229.2292208639328	122.55472921959252	7937	479.5270135981815	2865.9934959349594	6.1825637134549245	5.552539732946434	5.312170723087376	5.7929087428054915	79.93655765084509	0.9915289303172465	314.159265358979	623	314.15926535897927	615
SzLyn0005o_clean.fits	5	0	60350.58230013866	2460350.5823001387	2460350.581837176	2460350.586995061	2460350.5877982434	1.5461913433199033	40.21198280305056	-24.4743014837917	80	8.159930277777779	44.471555555555554	6.230288695662053	10	16	22	2.8943793966189624	0.625288482590632	1.599261825288867	0.0210886128697123	0.0094496947674438	0.024168902071556	137.24844846366858	66.17023067717322	66.17023067717322	244664.353014605	1712.352435459431	458.55388128200843	456.0010652525784	459.05388128200843	568.4989347474216	708151.4624525813	314.15926535897927	1434.5402809558734	493.64348415557953	24791	2254.116114141661	2819.82	600	6.11435336208547	6.0842485383150375	5.319629157799069	6.848867918831005	70.4411639165037	0.8982889121566815	334.50360056757717	421.26728672532516	335.00360056757717	603.2327132746748	94128.39854538871	1200.1027348942728	78.43361723001263	5885	299.61999827645167	2835.9951219512195	6.489722237239037	6.253620216451161	5.623865790715416	6.883374642186906	68.62127824809721	0.9262594941444726	377.42948708813134	572.509710856923	377.92948708813134	451.990289143077	150535.9544692163	1221.4353396406755	123.2451277474101	8032	479.1708253366449	2838.3113964687	6.086790487661653	6.031939062666313	5.1679742822464965	6.89590384308613	70.21346821427076	0.8673823719223812	314.1592653589793	615	314.1592653589796	623
SzLyn0006o_clean.fits	6	0	60350.58329453692	2460350.583294537	2460350.582831574	2460350.58798942	2460350.5887926025	1.5383340054998886	40.46125934154917	-24.4743014837917	80	8.159930277777779	44.471555555555554	6.283410927644148	10	16	22	2.9627151012526456	0.6163349913766318	1.622494283127464	0.0215460069522122	0.009342478973746	0.0245939609745093	137.50645805618532	65.97124736471362	65.97124736471362	244834.24056259752	1713.308607471695	456.10655459152315	452.5422456863494	456.60655459152315	571.9577543136506	725374.1018185307	314.1592653589792	1435.7931398061573	505.20794514762866	26089	2308.9374779052596	2804.03125	608	6.253320532648339	5.6223697515419895	5.3010484360940335	5.943691066989945	64.85313370517518	0.968197048533234	332.11679254007396	417.8768625324833	332.61679254007396	606.6231374675167	93359.3038268208	1196.3579165145895	78.03626535009624	5699	297.17189375313257	2821.8006482982173	6.363648570982641	5.798797990498075	5.645714006235032	5.951881974761118	56.369852132804176	0.981368931733184	375.032251908102	569.1419639218378	375.532251908102	455.3580360781622	151474.93673577672	1226.4396112444629	123.5078640211855	8737	482.15969872061953	2821.0586264656617	6.233263679301464	5.647445653227914	5.423650402384636	5.871240904071191	58.43010412190324	0.9693258235974023	314.1592653589794	617	314.1592653589795	597
SzLyn0007o_clean.fits	7	0	60350.58428881923	2460350.584288819	2460350.5838258564	2460350.5889836634	2460350.5897868457	1.5305952576420347	40.71019061365664	-24.4743014837917	80	8.159930277777779	44.471555555555554	6.552841062818824	10	16	22	2.980896565937737	0.6164624047068022	1.6221589384280675	0.0213528032890848	0.0092118775280185	0.0242401310407356	139.6021180723149	66.92038651532152	66.92038651532152	247148.34033440636	1704.0361852612039	453.420790227099	451.62447764178427	453.920790227099	572.8755223582157	736723.638980043	314.15926535897955	1431.1235086599086	514.7869031023776	21518	2345.064176726454	2770.383870967742	620	6.698235891845826	7.205718440119539	5.712412008034564	8.699024872204514	284.66552145809396	0.7922025398509414	329.3696110888784	416.96999240687364	329.8696110888784	607.5300075931264	94253.76040804258	1191.5435720369178	79.10223563786076	5271	300.0190374787828	2789.5252854812397	6.11098055713843	7.34644326484357	5.910695149078916	8.782191380608223	283.1763020402086	0.8234727167684651	372.29633314593445	568.1471751822373	372.79633314593445	456.35282481776267	152894.57992636377	1218.1802972536775	125.5106327618797	6250	486.6785633447933	2788.7024793388427	6.849306739472216	7.291474542161588	5.820301467985046	8.76264761633813	283.4977927735321	0.810634082452375	314.1592653589796	613	314.1592653589794	605
SzLyn0008o_clean.fits	8	0	60350.585282881744	2460350.5852828817	2460350.584819919	2460350.5899776868	2460350.590780869	1.5229738121373202	40.95874208561515	-24.4743014837917	80	8.159930277777779	44.471555555555554	7.9574418320052915	10	16	22	2.975086406555678	0.6135995827184326	1.6297273143011215	0.0210089905255626	0.0090690093223018	0.024087389598159	141.6101550874494	67.6589427700244	67.6589427700244	249170.62232966267	1692.928890642961	450.86475124059575	449.5148681032949	451.36475124059575	574.9851318967051	741304.1314059981	314.15926535897927	1426.8625802964289	519.5343557555439	17841	2359.644336954171	2749.65873015873	630	7.904787256868111	8.194118162430321	5.084253742789932	11.30398258207071	79.83594262972072	0.4993754251617223	326.8557792614229	414.9057307361171	327.3557792614229	609.5942692638829	94751.50559322629	1189.4626744265584	79.65908273574547	4593	301.6034096112267	2764.094370860927	8.111638876218521	8.505887221783713	5.524500991113794	11.48727345245363	80.491970180786	0.5639335719110752	369.7904186874439	566.065264845868	370.2904186874439	458.434735154132	154419.11673643638	1204.6521385527135	128.1856494456215	5677	491.53131472976565	2762.866352201258	7.855899362929241	8.453114994912278	5.5100167407493155	11.396213249075242	79.53428699691982	0.5578678365505799	314.15926535897927	604	314.1592653589792	636
SzLyn0009o_clean.fits	9	0	60350.58627747651	2460350.5862774765	2460350.5858145137	2460350.5909722424	2460350.591775425	1.5154619697717235	41.20709280978008	-24.4743014837917	80	8.159930277777779	44.471555555555554	6.183050762110514	10	16	22	3.063022524369029	0.624769782239938	1.6005895746346415	0.0217718149661505	0.0092451936300399	0.0236851412478163	140.6875140695082	67.57779309347409	67.57779309347409	246823.9971858526	1690.841623517974	448.2700658599027	445.0144551327793	448.7700658599027	579.4855448672207	756027.4629350645	314.15926535897944	1433.4795477204511	527.4072198220861	28279	2406.510156786803	2708.763819095477	597	6.102413400718611	5.530857269291358	5.205868903957343	5.855845634625373	64.87209839020532	0.9664475293199903	324.2668675725967	410.29392240326126	324.7668675725967	614.2060775967387	94910.7846902482	1185.3260201939995	80.07145972777546	5878	302.1104107236716	2729.0655462184873	6.367906935315388	5.6477199582378335	5.427816782944593	5.867623133531074	61.92310854306371	0.9805103570159936	367.172112681188	561.608034005594	367.672112681188	462.89196599440595	151913.2124956044	1205.7975044226757	125.9856749897148	8707	483.55477379289846	2729.410891089109	6.07883195029754	5.552148202604171	5.344580513933511	5.759715891274829	58.82295435487391	0.9741061199946343	314.1592653589794	595	314.1592653589793	606
SzLyn0010o_clean.fits	10	0	60350.58727229154	2460350.5872722915	2460350.5868093288	2460350.5919670183	2460350.5927702007	1.5080602751204262	41.455155529856086	-24.4743014837917	80	8.159930277777779	44.471555555555554	5.872360348171746	10	16	22	3.005860173239071	0.6266998370099143	1.5956602203235934	0.0207358108994229	0.0089517296485878	0.0227922811843923	144.95985654087582	70.00879847938477	70.00879847938477	252962.60297417303	1678.039327366578	445.64041678510364	443.2829427232729	446.14041678510364	581.217057276727	760370.213598954	314.1592653589794	1439.657277151317	528.1605738162322	28855	2420.3335614822763	2686	566	5.804084507369193	5.74749307523494	5.280202404995296	6.214783745474583	292.132054877109	0.9491172267150838	321.53167340589204	408.59375237853607	322.03167340589204	615.906247621464	97455.97709342593	1170.4448103803595	83.26405160594942	6156	310.21200976538506	2698.3221690590112	5.917701681860683	6.148096774885211	5.76274804414108	6.533445505629341	296.8626628279648	0.9554609393567153	364.47626618770397	559.8890812147225	364.97626618770397	464.6109187852775	155506.6258807471	1202.445395867339	129.3253119145408	7947	494.9929638492589	2698.832225913621	5.895294855285361	5.90351876155416	5.42245207120594	6.38458545190238	292.10398164170647	0.9489862287546823	314.15926535897944	627	314.15926535897955	602
